id,review_text,source,product_category,item_id,item_title,rating,buyer_name,review_date,label
1,saama thikai x 2 ota magayeko euta ma problem raixa....euta ramro x.,daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,jit thapa mgr,2 hours ago,
2,Thikai xa price aanusar ko lìa hunxa,daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,T***r,9 hours ago,
3,one of the most bestest products of green Life experiences.It is easy to use and its price is not high in the ratio of other companies products,daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,L***r,1 day ago,
4,"Ma chai sabailai yo buds lida hunxa vanxu. Yesto ramro quality, packaging aru product ma paunu hunna. Yesto budhet ma yesto product pauda ma nikai khusi xu.",daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,9***1,2 days ago,
5,"सामान राम्रो छ, भनेको जस्तो अडर गरेको जस्तो समान आएको छ, अब हेरम ब्याट्री ब्याकअप के कतिको छ
कतिको चल्छ कतिको टिक्छ
अबको १ महिना पछि use गरी सकेर फेरि review दिन आउँछु ।",daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,********32,3 days ago,
6,Its good,daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,Third-Party-User,3 days ago,
7,"nice quality,bass good,I like it time in delivery",daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,davidrai486,3 days ago,
8,thanku 🥀,daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,9***9,3 days ago,
9,"Is the third week today since I bought it and it’s doing great  
The battery life is way too good 
Takes about an hour
I charged it on day of delivery and didn’t need to charge again for a week
Has nice bass
Very good price range for its quality
If you’re looking for a budget, friendly and good sound it’s a must buy",daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,s***p,3 days ago,
10,"Very good product, I like it, Very nice",daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,Nischal Sharma,3 days ago,
11,एकदमै दामी छ । सोचे भन्दा राम्रो 👍️,daraz.com.np,Electronics,164940388,Green Airbeat-520 Dual Mic ENC Earbuds | Modern  Sleek Design With Textured Lines For Premium Feel | 30 Hours Of Playtime | IPX4 Rated |  Dual Mic | 6 Hours Of Single Playtime | 13mm Driver | Type-c Charging | Wireless Version 5.4 | 6 Months Warranty,5,jit thapa mgr,3 days ago,
